Condition,Severity,Parameter,Nutrient_Ingredient,Threshold,Unit,RiskWeight,Recommendation,Reason,Source
Diabetes,Diabetic,Fasting Sugar >=126,Instant Noodles,0,serving,9,Strictly Avoid,Instant noodles cause rapid blood sugar spikes,FSSAI
Diabetes,Diabetic,Fasting Sugar >=126,MSG,200,mg,5,Avoid Often,MSG may impair insulin signaling in some studies,FSSAI
Diabetes,Severe,HbA1c >=9,Bakery Products,0,g,10,Strictly Avoid,All refined carb products strictly contraindicated,FSSAI
Diabetes,Severe,HbA1c >=9,Instant Noodles,0,serving,10,Strictly Avoid,Instant noodles critically spike blood glucose,FSSAI
Obesity,Overweight,BMI 25-29.9,Cholesterol,300,mg,3,Limit,High cholesterol intake worsens obesity comorbidities,AHA
Obesity,Overweight,BMI 25-29.9,Instant Noodles,1,serving,5,Avoid Often,High calorie and sodium instant noodles worsen obesity,FSSAI
Obesity,Obese I,BMI 30-34.9,Cholesterol,200,mg,6,Avoid Often,Cholesterol restriction important in obese patients,AHA
Obesity,Obese I,BMI 30-34.9,MSG,300,mg,4,Limit,Some evidence links MSG to appetite stimulation,FSSAI
Obesity,Obese II,BMI 35-39.9,Cholesterol,150,mg,7,Avoid,Strict cholesterol limits needed in severe obesity,AHA
Obesity,Obese II,BMI 35-39.9,Refined Flour,30,g,7,Avoid,Refined carbs promote fat storage in severe obesity,NHS
Obesity,Obese III,BMI >=40,Cholesterol,100,mg,9,Strictly Avoid,Minimal cholesterol intake required in morbid obesity,AHA
Obesity,Obese III,BMI >=40,Refined Flour,0,g,9,Strictly Avoid,All refined carbs contraindicated in morbid obesity,NHS
Heart Disease,Mild,EF 50-55%,Bakery Products,40,g,5,Avoid Often,Bakery products contain hidden trans and saturated fats,NHS
Heart Disease,Mild,EF 50-55%,Instant Noodles,0,serving,6,Avoid Often,High sodium content worsens cardiac health,FSSAI
Heart Disease,Moderate,EF 40-49%,Bakery Products,0,g,8,Avoid,Baked goods with trans fats critically harmful for heart,NHS
Heart Disease,Moderate,EF 40-49%,Instant Noodles,0,serving,8,Avoid,High sodium in instant noodles dangerous for heart patients,FSSAI
Heart Disease,Severe,EF <40%,Bakery Products,0,g,10,Strictly Avoid,All trans fat products strictly contraindicated,NHS
Heart Disease,Severe,EF <40%,Cholesterol,80,mg,10,Strictly Avoid,Minimal dietary cholesterol mandatory in severe heart failure,AHA
Kidney Disease,Stage1,eGFR >=90,Calories,2500,kcal,2,Limit,Moderate caloric intake supports kidney health,NKF
Kidney Disease,Stage1,eGFR >=90,Added Sugar,30,g,3,Limit,Sugar contributes to diabetes risk worsening kidney disease,NKF
Kidney Disease,Stage2,eGFR 60-89,Calories,2200,kcal,4,Limit,Caloric moderation helps slow CKD progression,NKF
Kidney Disease,Stage2,eGFR 60-89,Added Sugar,20,g,5,Avoid Often,Sugar worsens diabetes and kidney disease,NKF
Kidney Disease,Stage3,eGFR 30-59,Calories,2000,kcal,6,Avoid Often,Caloric control essential in stage 3 CKD,NKF
Kidney Disease,Stage3,eGFR 30-59,Added Sugar,10,g,7,Avoid,Minimal sugar needed to protect kidney function,NKF
Kidney Disease,Stage4,eGFR 15-29,Calories,1800,kcal,8,Avoid,Significant dietary restriction needed in stage 4 CKD,NKF
Kidney Disease,Stage4,eGFR 15-29,Added Sugar,5,g,8,Avoid,Minimal sugar intake essential in advanced CKD,NKF
Kidney Disease,Stage5,eGFR <15,Calories,1600,kcal,9,Strictly Avoid,Strict dietary management required in ESRD,NKF
Kidney Disease,Stage5,eGFR <15,Added Sugar,0,g,9,Strictly Avoid,Zero added sugar in end-stage renal disease,NKF
PCOS,Mild,Irregular cycles,Glucose Syrup,15,g,6,Avoid Often,Glucose syrup causes insulin spikes worsening PCOS,ADA
PCOS,Mild,Irregular cycles,Corn Syrup,15,g,6,Avoid Often,HFCS directly worsens insulin resistance in PCOS,ADA
PCOS,Moderate,Androgen excess,Saturated Fat,15,g,6,Avoid Often,Saturated fat promotes inflammation worsening PCOS,AHA
PCOS,Moderate,Androgen excess,Calories,1900,kcal,6,Avoid Often,Caloric surplus worsens PCOS metabolic syndrome,WHO
PCOS,Severe,Metabolic syndrome,Glucose Syrup,0,g,10,Strictly Avoid,Glucose syrup critically worsens severe PCOS,ADA
PCOS,Severe,Metabolic syndrome,Corn Syrup,0,g,10,Strictly Avoid,HFCS is critically harmful in severe PCOS,ADA
Hypothyroidism,Mild,TSH 4.5-10,Sodium,2500,mg,3,Limit,Moderate sodium restriction supports thyroid health,NHS
Hypothyroidism,Mild,TSH 4.5-10,Cholesterol,300,mg,3,Limit,Hypothyroidism raises cholesterol requiring dietary monitoring,NHS
Hypothyroidism,Moderate,TSH 10-20,Sodium,2000,mg,5,Avoid Often,Sodium restriction supports hypothyroid management,NHS
Hypothyroidism,Moderate,TSH 10-20,Cholesterol,200,mg,5,Avoid Often,Cholesterol restriction important in moderate hypothyroidism,NHS
Hypothyroidism,Severe,TSH >20,Sodium,1500,mg,7,Avoid,Strict sodium restriction needed in severe hypothyroidism,NHS
Hypothyroidism,Severe,TSH >20,Cholesterol,150,mg,7,Avoid,Strict cholesterol management required,NHS
Hyperthyroidism,Mild,TSH 0.1-0.4,Sodium,2300,mg,3,Limit,Moderate sodium helps manage blood pressure in hyperthyroidism,NHS
Hyperthyroidism,Mild,TSH 0.1-0.4,Calories,2500,kcal,3,Limit,Hyperthyroidism increases metabolic rate requiring caloric adjustment,NHS
Hyperthyroidism,Moderate,TSH <0.1,Sodium,2000,mg,5,Avoid Often,Sodium restriction helps manage hyperthyroid-related hypertension,NHS
Hyperthyroidism,Moderate,TSH <0.1,Calories,2800,kcal,4,Limit,Increased calories needed but refined sources avoided,NHS
Hyperthyroidism,Severe,TSH <0.01,Sodium,1500,mg,7,Avoid,Strict sodium control needed in severe hyperthyroidism,NHS
Hyperthyroidism,Severe,TSH <0.01,Saturated Fat,10,g,8,Avoid,Saturated fat worsens cardiac risk in hyperthyroidism,AHA
High Cholesterol,Borderline,LDL 130-159,Added Sugar,25,g,4,Limit,Sugar elevates triglyceride levels,AHA
High Cholesterol,Borderline,LDL 130-159,Glucose Syrup,15,g,6,Avoid Often,Glucose syrup raises triglycerides linked to cholesterol,AHA
High Cholesterol,High,LDL 160-189,Added Sugar,15,g,6,Avoid Often,Excess sugar raises VLDL and triglycerides,AHA
High Cholesterol,High,LDL 160-189,Glucose Syrup,0,g,8,Avoid,Glucose syrup critically worsens lipid profile,AHA
High Cholesterol,Very High,LDL >=190,Added Sugar,0,g,9,Strictly Avoid,Zero added sugar required at very high LDL,AHA
High Cholesterol,Very High,LDL >=190,Glucose Syrup,0,g,10,Strictly Avoid,Glucose syrup critically worsens hypercholesterolemia,AHA
Fatty Liver,Mild,Grade 1 Steatosis,Alcohol,0,g,9,Strictly Avoid,Alcohol directly causes hepatic steatosis,WHO
Fatty Liver,Mild,Grade 1 Steatosis,Trans Fat,1,g,7,Avoid,Trans fat worsens liver inflammation,AHA
Fatty Liver,Moderate,Grade 2 Steatosis,Trans Fat,0,g,9,Strictly Avoid,Trans fat critically worsens hepatic steatosis,AHA
Fatty Liver,Moderate,Grade 2 Steatosis,Refined Flour,30,g,7,Avoid,Refined carbs promote de novo lipogenesis in liver,NHS
Fatty Liver,Severe,Grade 3 NASH,Refined Flour,0,g,10,Strictly Avoid,All refined carbs strictly contraindicated in NASH,NHS
Fatty Liver,Severe,Grade 3 NASH,Corn Syrup,0,g,10,Strictly Avoid,HFCS critically accelerates NASH progression to cirrhosis,NHS
Hypertension,Elevated,BP 120-129,White Bread,80,g,2,Limit,White bread has high glycemic load contributing to weight gain,NHS
Hypertension,Stage1,BP 130-139,White Bread,50,g,4,Limit,Refined carbs promote obesity worsening hypertension,NHS
Hypertension,Stage2,BP >=140,White Bread,30,g,6,Avoid Often,Refined flour contributes to metabolic syndrome,NHS
Diabetes,Prediabetic,Fasting Sugar 100-125,MSG,400,mg,3,Limit,MSG may affect appetite regulation in diabetic-prone individuals,FSSAI
Diabetes,Diabetic,Fasting Sugar >=126,White Bread,0,g,8,Avoid,White bread has very high glycemic index harmful for diabetics,NHS
Obesity,Overweight,BMI 25-29.9,White Bread,60,g,4,Limit,White bread is calorie dense with low satiety,NHS
Obesity,Obese I,BMI 30-34.9,White Bread,30,g,6,Avoid Often,White bread promotes fat storage in obese patients,NHS
Obesity,Obese II,BMI 35-39.9,White Bread,0,g,7,Avoid,All refined bread contraindicated in severe obesity,NHS
Obesity,Obese III,BMI >=40,White Bread,0,g,9,Strictly Avoid,White bread strictly contraindicated in morbid obesity,NHS
Heart Disease,Mild,EF 50-55%,Refined Flour,50,g,4,Limit,Refined flour raises glycemic load worsening cardiac risk,NHS
Heart Disease,Moderate,EF 40-49%,Refined Flour,30,g,6,Avoid Often,Refined carbs worsen cardiac metabolic risk,NHS
Heart Disease,Severe,EF <40%,Refined Flour,0,g,8,Avoid,All refined carbs contraindicated in severe heart failure,NHS
PCOS,Mild,Irregular cycles,White Bread,50,g,5,Avoid Often,White bread spikes insulin worsening PCOS,NHS
PCOS,Moderate,Androgen excess,White Bread,30,g,7,Avoid,Refined carbs worsen androgen excess in PCOS,NHS
PCOS,Severe,Metabolic syndrome,White Bread,0,g,9,Strictly Avoid,All refined carbs contraindicated in severe PCOS,NHS
High Cholesterol,Borderline,LDL 130-159,Corn Syrup,15,g,5,Avoid Often,Corn syrup elevates triglyceride levels,AHA
High Cholesterol,High,LDL 160-189,Corn Syrup,0,g,8,Avoid,Corn syrup significantly worsens lipid profile,AHA
High Cholesterol,Very High,LDL >=190,Corn Syrup,0,g,10,Strictly Avoid,HFCS critically worsens hypercholesterolemia,AHA
Kidney Disease,Stage3,eGFR 30-59,Energy Drinks,0,ml,9,Strictly Avoid,Energy drinks overload failing kidneys with electrolytes,NKF
Kidney Disease,Stage4,eGFR 15-29,Energy Drinks,0,ml,10,Strictly Avoid,Energy drinks are critically dangerous in advanced CKD,NKF
Kidney Disease,Stage5,eGFR <15,Bakery Products,0,g,9,Strictly Avoid,Baked goods contain hidden phosphorus dangerous in ESRD,NKF
Kidney Disease,Stage4,eGFR 15-29,Bakery Products,0,g,8,Avoid,Bakery products contain phosphorus additives harmful in CKD,NKF
Kidney Disease,Stage3,eGFR 30-59,Bakery Products,30,g,6,Avoid Often,Phosphorus in bakery products stresses stage 3 kidneys,NKF
Kidney Disease,Stage2,eGFR 60-89,Instant Noodles,0,serving,6,Avoid Often,High sodium and phosphate in instant noodles harm kidneys,FSSAI
Kidney Disease,Stage1,eGFR >=90,Instant Noodles,1,serving,4,Limit,Sodium content in instant noodles should be monitored,FSSAI
Fatty Liver,Mild,Grade 1 Steatosis,Bakery Products,50,g,5,Avoid Often,Bakery products high in trans fat promote liver fat,NHS
Fatty Liver,Moderate,Grade 2 Steatosis,Bakery Products,0,g,8,Avoid,Bakery products worsen hepatic steatosis,NHS
Fatty Liver,Severe,Grade 3 NASH,Bakery Products,0,g,10,Strictly Avoid,All trans fat containing foods strictly contraindicated in NASH,NHS
Fatty Liver,Mild,Grade 1 Steatosis,Processed Meat,40,g,5,Avoid Often,Saturated fat in processed meat promotes liver fat,WHO
Fatty Liver,Moderate,Grade 2 Steatosis,Processed Meat,20,g,7,Avoid,Processed meat worsens hepatic inflammation,WHO
Fatty Liver,Severe,Grade 3 NASH,Glucose Syrup,0,g,10,Strictly Avoid,Glucose syrup critically accelerates NASH,NHS
Hypothyroidism,Severe,TSH >20,Calories,1800,kcal,7,Avoid,Caloric restriction important in severe hypothyroidism,NHS
Hypothyroidism,Moderate,TSH 10-20,Calories,2000,kcal,5,Avoid Often,Metabolic slowdown requires caloric moderation,NHS
Hyperthyroidism,Mild,TSH 0.1-0.4,Cholesterol,250,mg,3,Limit,Hyperthyroidism can lower cholesterol but dietary balance needed,NHS
Hyperthyroidism,Moderate,TSH <0.1,Cholesterol,200,mg,5,Avoid Often,Monitor cholesterol carefully with thyroid treatment,NHS
Hyperthyroidism,Severe,TSH <0.01,Cholesterol,150,mg,7,Avoid,Strict cholesterol management with severe hyperthyroidism,NHS
